,Ozone,Solar.R,Wind,Temp,Month,Day,Humidity
1,41,190,7.4,67,5,1,High
2,36,118,8,72,5,2,High
3,12,149,12.6,74,5,3,Low
4,18,313,11.5,62,5,4,
5,NA,NA,14.3,56,5,5,High
6,28,NA,14.9,66,5,6,High
7,23,299,8.6,65,5,7,High
8,19,99,13.8,59,5,8,Low
9,8,19,20.1,61,5,9,NA
10,NA,194,8.6,69,5,10,Medium
11,7,NA,6.9,74,5,11,Medium
12,16,256,9.7,69,5,12,High
13,11,290,9.2,66,5,13,Low
14,14,274,10.9,68,5,14,Medium
15,18,65,13.2,58,5,15,Medium
16,14,334,11.5,64,5,16,NA
17,34,307,12,66,5,17,High
18,6,78,18.4,57,5,18,Medium
19,30,322,NA,68,5,19,Low
20,11,44,9.7,62,5,20,Low
21,1,8,9.7,59,5,21,Medium
22,11,320,16.6,73,5,22,Low
23,4,25,9.7,61,5,23,Medium
24,32,92,12,61,5,24,High
25,NA,66,16.6,57,5,25,NA
26,NA,266,14.9,58,5,26,Medium
27,NA,NA,8,57,5,27,Medium
28,23,13,12,67,5,28,Low
29,45,252,14.9,81,5,29,High
30,115,223,5.7,79,5,30,High
31,37,279,7.4,76,5,31,Low
32,NA,286,8.6,78,6,1,Low
33,NA,287,9.7,74,6,2,High
34,NA,242,16.1,67,6,3,Medium
35,NA,186,9.2,84,6,4,Low
36,NA,220,8.6,85,6,5,High
37,NA,264,14.3,79,6,6,Medium
38,29,127,9.7,82,6,7,High
39,NA,273,6.9,87,6,8,Low
40,71,291,13.8,90,6,9,Medium
41,39,323,11.5,87,6,10,High
42,NA,259,10.9,93,6,11,Low
43,NA,250,9.2,92,6,12,High
44,23,148,8,82,6,13,Medium
45,NA,332,13.8,80,6,14,Low
46,NA,322,11.5,79,6,15,High
47,21,191,14.9,77,6,16,Low
48,37,284,20.7,72,6,17,Medium
49,20,37,9.2,65,6,18,NA
50,12,120,11.5,73,6,19,Low
51,13,137,NA,76,6,20,Medium
52,NA,150,6.3,77,6,21,Medium
53,NA,59,1.7,76,6,22,Low
54,NA,91,4.6,76,6,23,Medium
55,NA,250,6.3,76,6,24,Low
56,NA,135,8,75,6,25,High
57,NA,127,8,78,6,26,High
58,NA,47,10.3,73,6,27,High
59,NA,98,11.5,80,6,28,Medium
60,NA,31,14.9,77,6,29,High
61,NA,138,8,83,6,30,Medium
62,135,269,4.1,84,7,1,Medium
63,49,248,9.2,85,7,2,Medium
64,32,236,9.2,81,7,3,Low
65,NA,101,10.9,84,7,4,NA
66,64,175,4.6,83,7,5,Low
67,40,314,10.9,83,7,6,High
68,77,276,5.1,88,7,7,Medium
69,97,267,6.3,92,7,8,Medium
70,97,272,5.7,92,7,9,Medium
71,85,175,7.4,89,7,10,Medium
72,NA,139,8.6,82,7,11,Low
73,10,264,14.3,73,7,12,Medium
74,27,175,14.9,81,7,13,High
75,NA,291,14.9,91,7,14,High
76,7,48,14.3,80,7,15,Low
77,48,260,6.9,81,7,16,High
78,35,274,10.3,82,7,17,Low
79,61,285,6.3,84,7,18,Medium
80,79,187,5.1,87,7,19,Medium
81,63,220,11.5,85,7,20,High
82,16,7,6.9,74,7,21,Medium
83,NA,258,9.7,81,7,22,High
84,NA,295,11.5,82,7,23,NA
85,80,294,8.6,86,7,24,High
86,108,223,8,85,7,25,Medium
87,20,81,8.6,82,7,26,Low
88,52,82,12,86,7,27,Low
89,82,213,7.4,88,7,28,Low
90,50,275,7.4,86,7,29,Low
91,64,253,7.4,83,7,30,Low
92,59,254,9.2,81,7,31,Medium
93,39,83,6.9,81,8,1,High
94,9,24,13.8,81,8,2,High
95,16,77,7.4,82,8,3,Low
96,78,NA,6.9,86,8,4,High
97,35,NA,7.4,85,8,5,High
98,66,NA,4.6,87,8,6,Medium
99,122,255,4,89,8,7,High
100,89,229,10.3,90,8,8,High
101,110,207,8,90,8,9,Low
102,NA,222,8.6,92,8,10,High
103,NA,137,11.5,86,8,11,Medium
104,44,192,11.5,86,8,12,High
105,28,273,11.5,82,8,13,High
106,65,157,9.7,80,8,14,Medium
107,NA,64,11.5,79,8,15,Medium
108,22,71,10.3,77,8,16,High
109,59,51,6.3,79,8,17,Medium
110,23,115,7.4,76,8,18,High
111,31,244,10.9,78,8,19,Low
112,44,190,10.3,78,8,20,High
113,21,259,15.5,77,8,21,Low
114,9,36,14.3,72,8,22,Medium
115,NA,255,12.6,75,8,23,Low
116,45,212,9.7,79,8,24,Medium
117,168,238,3.4,81,8,25,Low
118,73,215,8,86,8,26,Low
119,NA,153,5.7,88,8,27,Low
120,76,203,9.7,97,8,28,High
121,118,225,2.3,94,8,29,Medium
122,84,237,6.3,96,8,30,High
123,85,188,6.3,94,8,31,High
124,96,167,6.9,91,9,1,Low
125,78,197,5.1,92,9,2,Low
126,73,183,2.8,93,9,3,High
127,91,189,4.6,93,9,4,Low
128,47,95,7.4,87,9,5,Low
129,32,92,15.5,84,9,6,Low
130,20,252,10.9,80,9,7,Low
131,23,220,10.3,78,9,8,High
132,21,230,10.9,75,9,9,NA
133,24,259,9.7,73,9,10,Medium
134,44,236,14.9,81,9,11,Low
135,21,259,15.5,76,9,12,Medium
136,28,238,6.3,77,9,13,Medium
137,9,24,10.9,71,9,14,High
138,13,112,11.5,71,9,15,High
139,46,237,6.9,78,9,16,Low
140,18,224,13.8,67,9,17,High
141,13,27,10.3,76,9,18,High
142,24,238,10.3,68,9,19,Medium
143,16,201,8,82,9,20,High
144,13,238,12.6,64,9,21,Medium
145,23,14,9.2,71,9,22,Low
146,36,139,10.3,81,9,23,High
147,7,49,10.3,69,9,24,Low
148,14,20,16.6,63,9,25,Medium
149,30,193,6.9,70,9,26,Low
150,NA,145,13.2,77,9,27,Low
151,14,191,14.3,75,9,28,High
152,18,131,8,76,9,29,Medium
153,20,223,11.5,68,9,30,Low
